"Niveaux_des_prix";"Qualite_du_service_client";"Qualite_garantie";"Satisfaction";"Resume";"Plus";"Moins"
"Très bonne";"Mauvais";"Mauvais";"Assez mauvais";"Je suis nouvelle conductrice. Apres avoir visité toutes les assurances auto, je me suis tournée vers la matmut et honnêtement je suis déçus. ayant mon permis depuis peu, j'ai eu deux accident. Mes deux accident (types différents) n'ont pas été pris en compte par cette assurance. Comment vous dire que je suis décourager je pense à changer d'assureur. Même l'employé qui m'a eu au téléphone était vraiment désagréable et me répondait vraiment dune manière méprisable. Je sais plus quoi faire pour ma voiture et je fais plus confiance à cet assurance.";"rien";"rien"
"Bonne";"Mauvais";"Mauvais";"Mauvais";"ayant eu un incident le 26 09 de cette année, un agent technique employé par l mairie de mon village a cassé une vitre arrière de mon véhicule la matmut ne fait pas le nécessaire  depuis aujourd'hui car d'après ces dires elle n'a reçu aucun constat ce qui est totalement faux puisque je l'ai envoyé et la mairie  aussi de puis mercredi et je précise que cela a été envoyé par mail je vous laisse faire votre conclusion par vous  même pour moi ma voiture est immobilisé depuis 4 jours.";"je les cherche encore";"qualité de la réactivité et d’efficacité inexistante etc."
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Overall very happy with Matmut. Their service has been exceptional compared to what I've experienced in France";"At least for their assurance d'habitation (renter's insurance) and mutuelle, their prices were more affordable, and yet their service in their offices has been very good. They've been very kind, unlike many other Parisian administrative offices I've encountered. I've had no problems whatsoever with them, which is also exceptional for everything I've done in Paris thus far in my few years here!";"None I can think of."
"Bonne";"Mauvais";"Mauvais";"Mauvais";"Depuis 20 ans à la MATMUT pour l'ensemble de mes assurances, j'ai eut un gros pépin (35000 €) et là je me suis retrouvé seul avec un service en agence qui ne peut rien faire car tout est sur internet ou centralisé par téléphone.

Après un litige avec un locataire, la MATMUT ne me rembourse rien car je suis assuré pour les dégradations en tant que propriétaire non occupant seulement si ce n'est pas le locataire qui les causes ... chercher l'erreur !
Je fais donc jouer la protection juridique et il a fallut 6 mois pour 2 lettres recommandés et encore 3 mois pour me dire qu'il fallait aller devant le juge puisqu'il n'y avait pas de réponse. Vous n'avez besoin de personne pour faire ça !

Bilan : Si vous n'avez besoin de rien vous pouvez leur demander.";"Aujourd'hui je ne vois pas.";"service client
écoute client"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Assurance à éviter!!! 
Les personnes en charge des litiges clients ne font pas (ou très mal) leurs travail!!!!
 en cas de litige sur un accident pour définir la responsabilité ils ne lisent pas les constats, ne sont pas au courant des détails des PV de la police... ils regardent les mots clés qui correspondent sans se soucier du contenu, puis tranchent sur la responsabilité du sociétaire, et lorsque l'on demande des explications ils ne sont même pas capable d'en donner et ne font que répéter le même baratin d'assureur...";"RIEN";"PRIX 
Les dossiers qui se baladent entre employés
Pas d'explications 
PV et constat ne servent a rien ici"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"voila nous sommes assurés à la matmut depuis longtemps pour nos véhicules et habitation. au mois de mai 2017, nous avons eu un sinistre dégat des eaux, une fuite d'eau d'un tuyau dans le placo dans le mur de la maison, fuite très difficile à situer. déclaration puis on nous envoie quelqu'un qui ne sait pas faire, il me dit revenir demain mais ne revient pas et on ne peut m'en envoyer un autre. au tél. on me dit si on ne trouve pas il faut casser!!! le carrelage de la cuisine est tout soulevé par l'eau. je fournis comme demandé un devis carrelage et un devis plombier, hier l'expert vient conteste les devis qui sont faits par des professionnels , pour 4900E et 1500E IL me dit que de toutes façons pour un dégat des eaux le total remboursé ne peut dépasser 2100 Euros, et que l'intervenant à déjà perçu 600e sur cette somme mais que si je fais réparer au noir , il retire encore 500 euros  Voilà au bout de trois mois avec pas d'eau dans la cuisine, bien sur je vais résilier toutes mes assurances chez eux";"rien";"il ne faut pas avoir de sinistre"
"Assez mauvais";"Mauvais";"Bonne";"Assez mauvais";"Rien ne sert de se rendre en agence puisqu'ils vous diront que tout est sur le site que rien de plus ne peut être fait... Alors autant prendre une assurance en ligne qui sera moins cher. Les garanties sont bonnes mais le prix n'étant pas négligeable cela semble plutôt ""normal"" que les garanties soient correctes.";"Garanties";"Prix/Amabilité/Reconnaissance/Choix de couverture"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"FUYEZ,FUYEZ, Sincèrement et encore une fois FUYEZ cet assureur qui ne tient absolument pas ses engagements. Mon cas est certainement arrivé des personnes ici ou arrivera à d'autres personnes un jour, ce que je ne souhaite à personne. Mon véhicule m'a été volé en janvier 2017, le service ""des dossiers compliqués"" a statué que je ne n'allais pas être remboursée pour le vol mon véhicule car d'après eux la voiture que j'ai achetée est considérée épave. Je peux vous assurer que ce n'était pas le cas. Si j'ai acheté une épave comment ai-je pu avoir un certificat de non-gage? Comment l'ancien propriétaire a pu avoir une carte grise? Et surtout comment la matmut lorsque j'ai voulu m'assurer ne m'a pas dit attention votre voiture est une épave? Et enfin pourquoi la matmut ne me rembourse pas?? Je suis une nouvelle cliente c'est la raison pour laquelle on a été baladé et dossier qui a traîné en longueur?!! Autant de questions sans réponses. Je suis furieuse, et sidérée par cette affaire.Je suis une victime!!!! Jamais on pense au pire quand on s'assure et surtout on ne pense pas que son assureur va vous laisser tomber et ne pas prendre ses responsabilités c'est la raison pour laquelle on s'assure généralement d'où le nom ASSURANCE TOUS RISQUES. J'étais chez un autre assureur avant de passer à la matmut (si j'avais su...) l'offre matmut était moins cher et la loi Hamon permettant de résilier son assurance auto au bout d'1 an chez un autre assureur je me suis dis pourquoi... et bien plus jamais!";"0";"On ne s'assure pas pour avoir plus de problèmes quand on a un problème. Lisez toujours les CGV"
"Assez mauvais";"Mauvais";"Mauvais";"Mauvais";"Mon mari et moi-même avons toujours été assuré à la Matmut pour nos véhicules. Lorsque nous avons voulu souscrire une prévoyance nous n'avons pas réfléchi longtemps et nous avons rapidement choisi la Matmut.
Mon mari est décédé en février. J'ai alors pris contact avec la matmut pour un rendez vous pour changer nos contrats automobiles. C'est dernier se sont bien gardé de me parler du contrat de prévoyance avant que je ne l'évoque moi-même.
J'ai reçu de matmut vie un dossier à compléter pour le capita prévoyance me demandant un certificat médical de notre médecin traitant concernant les causes du décès. Mon médecin après avoir appelé l'avocat du conseil de l'ordre me fait part de son refus de spécifier la cause exacte du décès car selon la loi ce certificat médical n'est pas légale. En effet, un médecin ne peut pas donner de renseignements sur un patient à un médecin qui ne fait pas partit de son parcours de soin. J'ai alors contacté la personne en charge du dossier chez matmut vie et j'ai obtenu comme réponse que cela était suspicieux en fait cette personne voulait laisser entendre que j'avais tué mon mari et que selon elle aucun médecin ne refusait d'établir ce certificat ce qui rendait encore plus suspicieux notre dossier.
Des gens inhumains, des sous entendus de ma culpabilité dans le décès de mon mari.
Je suis extrêmement déçue et vous assure que je ne manquerai pas de changer tous mes contrats à la fin de l'année.";"aucuns";"Personnes inhumaines, inempathiques et indélicates"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Je déconseille vivement la Matmut !";"Aucun";"Absence de réactivité, communication par courrier, non respect des engagements, absence de service clients. Nous avons la sensation d'être laisser pour compte lors d'un sinistre !"
"Assez mauvais";"Mauvais";"Assez bonne";"Mauvais";"Bonjour j'ai acheté un scooter 50cm3 pour mon fils carte grise à son nom,j'ai contacté la matmut étant client depuis plus de 11ans pour l'assuré étant donné qu il est mineur.
J'ai eu un premier devis et à la question mon fils à t il le BSR je ne savais pas je l'ai est appelé au siège pour confirmer qu il l avais et donc soucrire et là parceque ce n étais pas intéressant après calcul pour eux que le véhicule soit à assuré à mon nom et que mon fils puisse le conduire ils sont revenu sur leurs paroles à moins que je l'assure au prix fort à son nom alors qu il est mineur de plus la personne au siège de la matmut  que j'ai contacté à été plus que désobligeante elle ne voyais que l 'intérêt de pouvoir facturer au prix fort un mineur étudiant.
Je suis très déçu après avoir raccroché la personne m'a signalé dans tous les matmut de France afin que je ne puisse pas l assuré comme convenu sur le devis,je me suis déplacé au bureau matmut dont je dépend qui été ok pour l'assurer sans pb mais ils se sont aperçu que la personne au siège avais bloquer tout demande pour ce contrat avec mention refus du siége!!
procédure de mafia d une personne qui abuse de son pouvoir je déconseille fortement à toute personne s 'assurer chez cette compagnie qui ne vois que son intérêt et sans aucuns états d âme même pour un bon client.
Le client est juste bon à payer !!!
Très Très déçu  j'ai contacter plusieurs assurances et pas une n'a agis de la sorte.";"le personnel dans les bureaux locaux";"le siège matmut et excès de zèle certainement que les gens du siège sont commissionner  au prorata de la facturation!!"
"Assez bonne";"Mauvais";"Assez mauvais";"Mauvais";"TRES MECONTENT DE LA PROTECTION JURIDIQUE
SOUCI AVEC UN FOURNISSEUR DE SALLE DE BAIN ET UNE PROTECTION JURIDUQUE QUI N A ABSOLUMENT PAS AGI POUR DEFENDRE UNE SITUATION LAMENTABLE
SERVICE PROTECTION JURIDIQUE CATASTROPHIQUE
A FUIR!";"AUCUN";"PROTECTION JURIDIQUE"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Dommage de ne pas pouvoir mettre zéro ! Toujours en litige depuis novembre 2016";"Assureur incompétent ! Aucune prise en charge , litige , sinistre bataille administrative rien n est en plus !";"Personne pour vous repondre personne ne peut accéder a votre dossier j ai donner les factures les photos de mes bijoux et il ne veulent rien rembourser ! Il me demande des photos de moi les portant et des relevés de comptes ! Alors que ce n est pas précisé dans les conditions générales de mon contrat ! C est une honte ! Assurance qui abuse des gens !"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Meilleur rapport garanties / prix. Possibilité d'aller en agence.";"Service client disponible et compétent. Les avantage d'un groupe mutualiste. Cotisations en 12 fois sans frais.";"La garantie aide juridique obligatoire pour les logements."
"Bonne";"Mauvais";"Mauvais";"Mauvais";"Que dire à part fuyez les. Une assurance qui ne respecte pas du tout ses clients. Lors d'un accident pendant que je me garais un monsieur me rentre dedans. J'ai un témoignage qui prouve que c'est lui qui est rentré dans ma voiture. La matmut m'envoie une lettre pour me dire ""vous etiez en marche arrière votre témoin le confirme vous êtes en tord a 100%"" sans même prendre en compte la suite du témoignage qui dit que c'est l'autre qui m'est rentré dedans. Le comble c'est que par téléphone un conseiller m'a dit témoignage ou pas vous êtes en marche arrière vous êtes responsable. Au téléphone c'est discours de sourd  Ma collègue a eu également des soucis avec eux et m'avait conseiller de ne pas aller chez eux. J'aurais du l'écouter. Cette assurance est la juste pour prélever de l'argent";"Rien";"Les conseillers en on rien à faire et n'écoute pas"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Après plusieurs semaines d'attente et appel sans réponse un conseiller  me répond en fin pour me dire que je suis en tort sans que sa soit vérifié par un expert. Je conteste cette décision et je demande qu'un expert se déplace et examine au moin la voiture et le choc rieennnnnnn il m'envoie balader. Merci la Matmut trooop déçu";"RAS";"RAS"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"bonjour franchement ne vous assuré pas chez matmut aucun service ,sa fait 10 anS  que je suis chez eux aucun problème avec ma voitures zero soucis habitation ,il mon jamais fait un geste commercial niveau accueil zero sur asnières une froideur j'ai jamais vu sa le monde tourne a l'envers nous sommes client il vous parle mal je suis sur asnières sur seine ,j'avais un probleme avec mon compte pour le prélevement je leur explique juste de refaire le prélevement il mon refuser il mon demander de payer la totalité des 6 mois d'assurance ,j'ai rien compris 10 ans d'ancienneté  il mon traité comme un rat mort  je vous le déconseille de vous assurer chez matmut ,ma mère etait chez Macif pendant 30ans rien a dire service au top a l'accueil et au téléphone je suis pas la  pour faire de la pub mais maintenant je vais m'assurer chez Macif  ,si  veulent me contacter mtmut  pas de soucis";"rien";"rien"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"bonjour franchement ne vous assuré pas chez matmut aucun service ,sa fait 10 anbonjs que je suis chez eux aucun problème avec ma voitures habitation ,il mon jamais fait un geste commercial niveau accueil zero sur asnières une froideur j'ai jamais vu sa le monde tourne a l'envers nous sommes client il vous parle mal je suis sur asnières sur seine ,j'avais un probleme avec mon compte pour le prélevement je leur explique juste de refaire le prélevement il mon refuser il mon demander de payer la totalité des douze mois d'assurance ,j'ai rien compris 10 ans d'ancienneté  il mon traité comme de la merde je vous le déconseille de vous assurer chez eux si matmut veulent me contacter pas de soucis";"rien aucun professionnel chez Matmut";"aucun professionnel chez matmut"
"Assez mauvais";"Mauvais";"Assez mauvais";"Mauvais";"ayant souscrit plusieurs contrats auto je me suis apercu pour un de mes vehicules que la carte verte et la vignette ne m'avait pas éte envoyé(retard de 6mois!!!) je contacte donc mon agence qui me certifie l'envoyer le mardi13 juin le vendredi n'ayant tjs rien je rappel et on me reponds qu'il faut 72h pour que le courrier soit acheminé et que si cela ne me vas pas de passer a l'agence! je m'enerve un peu et prends la decision  d'attendre aujourd'hui tjs rien !!! je fais quoi??j'arrete de payer?? je roule sans assurance!!!!!!!!!!!";"aucun";"tres tres desagréable"
"Mauvais";"Assez bonne";"Assez bonne";"Assez bonne";"Je viens de lire les commentaires; je suis assuré depuis 8 ans à la matmut! Globalement c'est une bonne mutuelle! Pour ma part elle tiens ses engagements et vous défend bien en cas de sinistre!
Par contre, actuellement je suis en pleine réflexion aux niveaux de leurs tarifs car ils ne sont plus du tout aussi attractifs qu' auparavant. J'ai des devis à l'appui avec les mêmes garanties et il y a des différences de 150 euros à 200 euros à l'année pour un véhicule de 1999 assuré au tiers.
J'envisage donc de changer d'assurances!
Je précise également que je suis allé voir une agence matmut pour parler de ces devis, elle m'a conseillé de faire un courrier au siège pour demander de faire un effort sur le prix dans le cas contraire elle m'a guidée sur d'autres assurances par rapport aux devis que je lui est montré!";"Globalement rien à dire sur la qualité de tous les services qui sont bonnes et toujours bien accueilli!";"Par contre leur tarifs ne sont plus du tout attractif par rapport à leurs concurrents! j'espère qu'ils feront quelque chose à ce niveau là sinon je partirais de chez eux!"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"ne défend pas ses sociétaires";"Aucun";"A plus de 10 mois après un accident, toujours pas remboursée d'une prothèse , aucune expertise de prévue et refus d'en organiser une et bien sûr aucune provision à valoir sur indemnisation.
J'ai dû payer une expertise privée : 540 €
Je laisse à chacun se forger son opinion sur une telle assistance."
"Bonne";"Bonne";"Bonne";"Très bonne";"assuré depuis plus de 30 ans avec 65% de bonus 15%bonus matmut inclus je n'ai pas à me plaindre des services en agence ou par téléphone. Mes demandes toujours bien traitées avec un très bon accueil. Bémol peut être sur les tarifs moto depuis 20 ans avec une moto de plus de 10 ans .
Lors de sinistre dossier très vites pris en charges et les remboursements sont très rapides.";"présence d'agences un peu par tout.";"Pour une assurance mutualiste la MATMUT pourrait étudiée lors de sinistres ou autres au cas par cas pour les bons conducteurs."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Habitant depuis mai 2015 en région Poitou Charente, j'étais propriétaire d'un appartement vide en région parisienne. Au printemps 2016, au moment des fortes pluies qui ont frappé la France, mes voisins du dessous m'ont informé qu'ils avaient subi un dégât des eaux sur leur balcon et que j'en étais responsable. J'ai alors contacté la Matmut qui assurait mon appartement pour la procédure de constat à l'amiable que j'étais obligé de gérer à distance.

Septembre 2016, me voici convoqué pour l'expertise en région parisienne et j'ai alors été obligé de demander une journée que j'ai dû rattraper, j'ai subi des frais de déplacement (essence, péage) nourriture au restaurant (je ne pouvais pas cuisiner dans mon appartement vide) sans compter la fatigue 1200 Km en 48 heures après un peu moins d'une semaine de travail.

Les deux experts ont conclu sans le moindre doute que ma responsabilité dans ce sinistre était totalement écartée et en ont fait la démonstration lors de l'entrevue contradictoire.

J'avais donc subi 165 Euros de frais (essence, péage, restaurant) sans compter la fatigue du déplacement et l'obligation de surcharger une prochaine semaine de travail pour rattraper les heures perdues, pour rien du tout. J'ai donc demandé à la Matmut de se retourner contre l'assureur de mes voisins pour être dédommagé des frais indûment subis dans cette affaire.

La Matmut a refusé de faire une telle procédure et m'a laissé entendre que je pouvais porter une réclamation. J'ai donc effectué et même réitéré cette réclamation, mais en pure perte. Croyant naïvement que la ""fidélité était récompensée à la Matmut"", j'ai rappelé que mes parents avaient souscrit dès le début des années 70, un contrat habitation et qu'indépendamment de mes parents, j'étais moi-même client depuis 1996.

Pourtant, à chaque fois, il m'a été expliqué que pour maintenir des tarifs compétitifs, la Matmut ne pouvait m'accorder ce geste commercial.

Autrement-dit, la Matmut a refusé de récompenser 40 ans de fidélité en payant une modique note de 165 Euros alors que dans le même temps, pour nous démontrer le contraire, elle a dépensé en novembre 2016, entre 30 000 et 50 000 Euros par spot de 30 secondes pendant plusieurs semaines pour nous affirmer qu'""à la Matmut la fidélité est récompensée"".

A l'occasion d'une prochaine acquisition immobilière, je suis sur le point de souscrire un nouveau contrat d'assurance habitation, mais je me demande s'il n'est pas préférable d'être nouveau client ailleurs qu'ancien à la Matmut.";"Je cherche...";"A la Matmut, la fidélité est récompensée ? Est-ce bien sûr ?"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Ne prend pas en compte demande de rv des clients
Ne prend pas en compte les demandes via internet
Impossible de répondre aux mails matmut renvoi systématique vers internet";"tout va bien si pas de sinistre";"attention à la signature electronique par tel 
le client paie à l'avance le sinistre si garage et expert non agréé."
"Assez mauvais";"Mauvais";"Mauvais";"Mauvais";"Assuré depuis plus de 15 ans, je n'ai jamais eu d'accident . Le seul incident m'est arrivé l'été dernier à 700 Km de chez moi (panne suite à fusible grillé). Bien que cela soit couvert par mon contrat, l'assistance matmut n'a pas pu me mettre en relation avec un dépanneur. C'est un allemand qui passait par là qui m'a aimablement dépanné.";"Y en a pas";"Prix élevé et service nul (voir ci-dessus) Je suis en passe de changer d'assureur."
"Assez bonne";"Mauvais";"Assez bonne";"Mauvais";"Ne faites surtout pas appel à la protection juridique qui fait tout pour vous dissuader de poursuivre. Il semblerait qu'ils défendent vos adversaires plutôt que leur client ! Et je ne parle pas des délais : 4 mois sans avoir fait quoique ce soit, impossibilité de récupérer son dossier...Zéro pointé, je change d'assurance !";"?";"Voir ci-dessus."
"Assez mauvais";"Mauvais";"Assez bonne";"Mauvais";"service client médiocre, après 22 ans de collaboration et suite un 1 impayé( changement de banque) en 22ans, facturation de 7 euros de frais d'impayé malgrès un contact avec le siège de matmut pour explication et demande d'annulation de ces frais, j'ai décidé de quitter cette assurance.
J'avais 2 contrat de voiture, 1 contact de moto et 2 contrat de maison.
Bravo Mme Pasquet.";"Les prix";"service client"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"zéro blabla zéro tracas :)";"Rien à redire ils prennent tout ce qui est assurée en charge et vous accompagne en cas de sinistre.";"j'en vois pas. tous les contact avec eux se déroule dans blabla. que du concret."
"Très bonne";"Assez bonne";"Assez bonne";"Très bonne";"Assurance très chère ce n'est plus le caractère mutualiste de l'époque .
Fermeture des des agences dé proximité.
Trop de publicité (rugby) au détriments des sociétaires";"Pas de plus";"Prix service de proximité"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Bonjour , je suis passer par un courtier BL Assur qui ma trouver le produit adapté chez maXance je suis ravie du service apporté par les jeunes du cabinet , pour mon habitation je suis passer sur leur site bl-assur pas besoin de me déplacer et géré en 48 heures";"J'ai souscrit et payer en ligne 
Les garanties souhaité et le mois offert, accompagnement qui va avec , reponse a toute mes questions";"Il faut appeler pour prendre rendez vous mais sa ne ma pas freiner"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"Ils ont tous les document mais toujours à harceler au sms et dire qu'il manque des document des imcompetent";"Rien";"Imcompetent ils harcelent au sms ils ont tous le dossier complet mais envoi des sms pour emmerder les gens"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"De gros incompétents. 15 jours après un sinistre, toujours pas de nouvelles, impossible de tomber sur une personne qui sait ce qu'elle fait. Ils me demandent des papiers qui sont déjà en leur possession, ils me font comprendre que je devrai faire le secrétariat à leur place (il faudrait que JE les mette en contact avec l'expert qu'ILS ont mandaté) . Un tel manque de professionnalisme relève presque de la science-fiction. 
Qui que vous soyez allez, ne choisissez pas ces anarquassureurs.";"aucun";"Assureurs les plus mauvais que j'ai eu jusqu'à ce jour !"
"Assez mauvais";"Mauvais";"Mauvais";"Mauvais";"Résiliation demandée début octobre, tous les éléments fournis, toujours débités en décembre !!!! Impossible d'obtenir les attestations de non remboursement pour la nouvelle mutuelle !!!!!!  Fuyez";"Je vois pas";"Impossible de résilier"
"Assez bonne";"Mauvais";"Assez bonne";"Mauvais";"Je ne recommande ABSOLUMENT pas cette compagnie d'assurance. J'ai effectué un contrat pour ma moto avec eux, je leur ai envoyé tous les papiers nécessaires et ils n'ont fait que me relancer par courrier et message disant qu'il manquait des éléments alors que c'est faux. Bref, le service client est 0, personnes extrêmement désagréables.";"Le contrat avait l'air plutôt intéressant";"Tout le reste, je vous recommande vraiment de ne pas souscrire chez eux."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"je ne recommande pas cette assurance. MMA non plus car MMA m'a expulsé car j'avais déjà eu des accidents, ce n'est pas normal car j'ai été 20 ans chez eu sans rien avoir................................................................................................................";"assurance proche de mon domicile";"titilles tjs sur les accidents"
"Assez mauvais";"Mauvais";"Assez mauvais";"Mauvais";"Après de nombreuses années, je m'interroge si je reste ou pas. Malgré le contrat Multi santé, le plus cher, il faut interpréter les garanties et quand on en a besoin on nous explique que :c'est pas tout a fait ça, qu'il ne faut pas le comprendre comme ça. Pire qu'une assurance habitation. L'impression que ce n'est plus une mutuelle qui devrait placer le mutualiste au cœur de ses préoccupations.";"rien";"une plate forme totalement incapable de vous fournir une explication dans un délai inférieur à une semaine."
"Assez mauvais";"Mauvais";"Assez mauvais";"Mauvais";"Des semaines pour avoir des réponses. et des réponses fantaisistes ! par pour un dossiers mais sur trois dossiers . une plate forme vraiment pas à la hauteur . Mélange entre deux dossiers. Toujours le m^me discours au téléphone : c'est en cours ..puis c'est transmis ...il faut toujours répéter à chaque interlocuteur . digne des plate forme de téléphonie mobile dans les années 90. A éviter";"Rien";"CHERE"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"9 mois passés et factures hôpital et polyclinique de Besançon toujours pas réglées;on vous répète toujours la même chose:dossiers en cours de traitement!!! J'envoie des mails ,aucune réponse. Je me suis aperçu que mon nouveau contrat F250 senior mélodie n'était pas paramétré donc inconnu chez eux. Bravo mcdef solsantis.";"rien!!!";"Mauvais service clientèle.Site souvent en panne.
Mutuelle chère pour remboursements effectués"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"mcdef solsantis, l'incompétence par exellence, relevés de prestations complétement faux, interlocuteurs décrochent quand ils ont le temps, numéro surtaxé, temps d'attente évidement long, enfin bref l'idéal ! c";"aucun";"que ça"
"Assez mauvais";"Assez mauvais";"Assez mauvais";"Assez mauvais";"je n'ai pas encore changé  pour partir de cette mutuelle par manque de temps mais on voit que les administrateurs de celle ci ronronnent, est ce d'ancien militaires qui pantouflent";"je n'en vois pas";"comme beaucoup de mutuelle aucune transparence dans l'évolution des taux de remboursement"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Sachez que quand vous vous assurez chez eux pour invalidité totale, au moment où le cas malheureusement se présente (cas indubitable scientifiquement reconnu par tous les experts qui ont été amené à statuer sur le cas), il vous est répondu qu'une aveugle totale, dans la quarantaine (nerfs optiques totalement détruits suite à tumeur au cerveau), mère de 5 enfants, n'est pas dépendante (elle ne peut rien faire sans aide des gestes courants de la vie et ne s'habitue pas à ne plus voir) et que donc elle ne peut toucher le revenu prévu en cas d'invalidité totale et permanente. Après discussion, ils m'ont avoué qu'il fallait qu'elle ait en plus une autre maladie invalidante. Je leur ai demandé si la maladie d'Elzeimer leur conviendrait... Ils ont grimacé tout en disant oui... Ce qui signifie que le mieux pour eux et de ne même pas se souvenir qu'on est assuré chez eux. En résumé, sachez que même si la SS dit que vous êtes en 3ème catégorie, ils peuvent vous débouter car les mot invalidité et dépendance totale pour eux ne correspondent pas à votre définition mais à la leur : un cas de cécité reconnu par tous les toubibs, experts et contre-experts n'est pas un cas de grande dépendance. Sans compter les erreurs dans l'évalution du GIR : le toubib a coché par erreur qu'elle se promenait sans canne ! Quand je leur ai fait remarqué cette ineptie, ils m'ont répondu la fleur au bec que justement cet ""item"" n'était pas pris en compte pour le calcul du niveau du GIR !
Je vous laisse en déduire les conclusions sur cette mutuelle... qui ne répond même pas quand on demande en recommandé la révision du GIR comme c'est le droit le plus évident de mon épouse.";"pas de plus";"aucun service ""honnête"" après ""vente""
silence de macchabée..."
"Assez mauvais";"Mauvais";"Assez mauvais";"Mauvais";"Très mauvaise coordination entre mon assureur et la rapidité a exécuter le traitement de mon dossier , au bout de 2 mois je n'ai toujours pas de réponse , donc pas satisfaite du tout de MCDEF";"je n'en trouve pas !";"les contacts que j'ai eu au téléphone ne m'ont pas satisfait du tout et je regrette d'avoir pris cet assureur .."
"Assez mauvais";"Mauvais";"Assez mauvais";"Mauvais";"cette mutuelle est déplorable on ne peut pas les joindre au téléphone il ne réponde pas au mail j'ai attendu 2 mois avant de recevoir ma carte de mutuelle et les remboursement on n'en parle même pas 1 mois que j'ai envoyé les facture et toujours pas de remboursement";"le tarif";"remboursement, carte de mutuelle, ne répond pas au téléphone, ne répond pas au mail"
"Assez mauvais";"Assez mauvais";"Assez mauvais";"Mauvais";"Cette mutuelle est devenue une vrai catastrophe. J'ai envoyé un devis dentaire plusieurs fois par courrier et email. Je n'ai aucune réponse.Même au téléphone on obtient rien.Je ne vais pas tarder à aller voir ailleurs.";"rien";"Se moque des clients."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"L'accueil est nul on peut téléphoner plusieurs fois ça n'est jamais pris en compte et si l'on écrit c'est identique.
De nombreuse erreurs dans les remboursements toujours en moins.
Impossible de faire valoir ses droits. Je suis exaspéré.
Je déconseille totalement cette mutuelle archi nulle
Devant un tel désastre on est obligé de considérer que cette mutuelle doit être privatisée en virant tous ces incapables";"aucun";"Un emmerdement maximum"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Service client très désagréable surtout pour un prix d'appel surtaxé .Après un refus de remboursement malgrés lettres recommandées au service gestion,au service réclamation ,je n'ai toujours pas vu l'ombre d'un remboursement,n'ai obtenu aucune réponse,je vais faire une requete auprès du médiateur mais sans espoir .Cette mutuelle m'est imposée par mon employeur .Aucun esprit mutualiste ,une honte!";"0";"tout"
"Assez bonne";"Bonne";"Bonne";"Bonne";"Cette mutuelle fait partie des mutuelles ayant un rapport qualité/prix correct et de plus elle offre un produit prévoyance incluse performant. Le contact avec la conseillère est excellent et le service rendu est impeccable;";"bonnes prestations restant dans la moyenne du marché
contact conseiller parfait et service rendu";"la tarification demanderait une meilleure analyse"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"Assurance nulle, au niveau des remboursements dentaires et optiques. Je suis liée par une caution habitat , mais dés que je peux partir je me sauve chez Harmonie mutuelle. Avec mon épouse nous avons les même praticiens de santé, en dentaire pour une couronne identique le remboursement chez harmonie est supérieur de 47 euros notre niveau de cotisation est le même 77 euros par mois";"aucun";"Pas d'interlocuteur, les représentants qui se déplace dans les bases ou caserne ne répondent pas à vos attente, j'ai posé une question pour une caution, la réponse a été ""il faut téléphoner au service caution""."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"C'est donc ça une mutuelle avec de beaux slogans, après deux ans de cotisations sans problèmes, me voilà dépendant d'une indemnité que je ne peux plus régler que par leur propre versement (ubuesque? non, MCDEF), et donc me voilà sans mutuelle, sans moyen de régler mes dettes.";"Objectivement aucun";"Le relationnel est inexistant, les relances doivent être régulières, envers différents interlocuteurs, le coût est très élevé, en particulier pour le service rendu. C'est honteux."
